numericID,Progress,Finished,Consent,Age,Gender,Gender_6_TEXT,Male,State,State2,LocalArea,Education,Education_7_TEXT,Employment,Income,Legal_TIME_First_Click,Legal_TIME_Last_Click,Legal_TIME_Page_Submit,Legal_TIME_Click_Count,Legal_Post,Legal_Pubs,Legal_All,NS_Fair,NS_Display,NS_Title,MEDIA,VenueInfo_Contact,VenueInfo_Hourly,ScreenMSG,Counselling_Treat,PC_TIME_First_Click,PC_TIME_Last_Click,PC_TIME_Page_Submit,PC_TIME_Click_Count,PC_Pokies,PC_All,SE_TIME_First_Click,SE_TIME_Last_Click,SE_TIME_Page_Submit,SE_TIME_Click_Count,SE_Pokies,SE_All,MaxBets,Resp_INDV,Resp_SNtwk,Resp_Design,Resp_Venues,Resp_Empl,Resp_Gvmt,Resp_Aust,Cards,Racing,SportsBetting,Dice,SkillGame,Pokies,Bingo,CasinoGames,LotteryScratch,None,Gambl_total,GamblMstDollars,GamblMstCents,PGSI_1,PGSI_2,PGSI_3,PGSI_4,PGSI_5,PGSI_6,PGSI_7,PGSI_8,PGSI_9,PGSI_total,PGSI_class,Gender_quota,Age_quota,Group,Group_N,Control,Brain,Design,Clubs,SpeedInterv,Speed1,Speed2,SpeedFinal,ArticleTime,ArticleTime2,ArticleCheck1,ArticleCheck2,TotalCheck
396,100,TRUE,Yes,49,Male,NA,TRUE,Victoria,Victoria,Major City,Undergraduate university degree,NA,"Yes, full time","$2,000 - $2,499",4.213,32.332,33.142,9,Slightly Agree,Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,35.72,62.737,63.676,6,Strongly Agree,Strongly Agree,6.054,25.083,28.372,6,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Slightly Agree,Slightly Agree,Agree,Agree,Strongly Agree,Slightly Agree,0,0,0,0,0,0,0,6,0,FALSE,6,150,0,Never,Never,Never,Never,Never,Never,Never,Never,Never,0,No Harm,Male,45-54,Design,3,0,0,1,0,NA,NA,NA,NA,66.601,13.831,Depression,EpMeds,Failed
397,100,TRUE,Yes,42,Female,NA,FALSE,New South Wales,New South Wales,Inner Regional,"A trade, technical certificate or diploma",NA,"Yes, full time","$4,000 - $4,999",8.204,14.88,15.795,3,Disagree,Disagree,Strongly Disagree,I Don't Know,I Don't Know,Agree,Agree,Agree,Agree,Agree,Slightly Disagree,15.808,17.271,18.1,2,Strongly Disagree,Strongly Disagree,22.885,24.471,25.411,2,Disagree,Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Disagree,0,0,0,0,0,0,0,0,0,TRUE,0,0,0,Never,Never,Never,Never,Never,Never,Never,Never,Never,0,No Harm,Female,35-44,Clubs,4,0,0,0,1,NA,NA,NA,NA,71.368,54.997,Clinic,EpMeds,Failed
398,100,TRUE,Yes,31,Female,NA,FALSE,Victoria,Victoria,Major City,Undergraduate university degree,NA,"Yes, full time","$1,000 - $1,249",1.475,24.136,25.288,21,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Slightly Disagree,1.508,16.966,17.901,22,Strongly Agree,Strongly Agree,5.611,17.551,18.387,19,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Strongly Agree,Disagree,0,0,0,0,0,0,0,0,0,TRUE,0,0,0,Never,Never,Never,Never,Never,Never,Never,Never,Never,0,No Harm,Female,25-34,Control,1,1,0,0,0,NA,NA,NA,NA,0,0,Control,Control,CTRL
399,100,TRUE,Yes,35,Male,NA,TRUE,Victoria,Victoria,Major City,Undergraduate university degree,NA,"Yes, full time",$600 - $799,1.1,24.904,25.569,24,Slightly Agree,Disagree,Strongly Disagree,Slightly Disagree,Disagree,Strongly Disagree,Agree,Agree,Agree,Slightly Disagree,Strongly Agree,5.484,41.182,41.748,26,Agree,Agree,12.441,23.102,23.802,14,Slightly Disagree,Slightly Disagree,Slightly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,5,0,0,0,0,0,0,0,2,FALSE,7,100,0,Never,Never,Sometimes,Never,Sometimes,Never,Never,Never,Most of the time,4,Moderate Risk,Male,35-44,Design,3,0,0,1,0,NA,NA,NA,NA,55.308,NA,Correct,NA,Correct
400,100,TRUE,Yes,30,Male,NA,TRUE,New South Wales,New South Wales,Major City,Postgraduate degree,NA,"Yes, full time","$4,000 - $4,999",3.876,5.907,6.985,3,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,2.667,3.674,9.884,2,Strongly Agree,Agree,46.529,47.072,47.605,2,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,3,2,0,0,0,0,2,3,0,FALSE,10,100,0,Most of the time,Almost always,Almost always,Most of the time,Almost always,Almost always,Sometimes,Most of the time,Almost always,22,High Risk,Male,25-34,Design,3,0,0,1,0,NA,NA,NA,NA,171.223,11.728,Music,EpMeds,Failed
403,100,TRUE,Yes,23,Female,NA,FALSE,Victoria,Victoria,Major City,Postgraduate degree,NA,"Yes, casual","$1,000 - $1,249",8.561,11.024,11.77,4,Agree,Slightly Agree,Strongly Agree,Slightly Disagree,Agree,Strongly Agree,Slightly Agree,Agree,Slightly Disagree,Strongly Agree,Agree,3.879,4.469,6.013,2,Slightly Disagree,Agree,1.852,2.699,4.636,3,Strongly Agree,Slightly Disagree,Strongly Agree,Strongly Agree,Agree,Slightly Disagree,Agree,Disagree,Agree,Strongly Agree,2,1,0,0,0,0,0,0,0,FALSE,3,60,0,Sometimes,Sometimes,Most of the time,Never,Sometimes,Almost always,Most of the time,Most of the time,Sometimes,13,High Risk,Female,18-24,Brain,2,0,1,0,0,NA,NA,NA,NA,120.686,112.815,Depression,Correct,Correct
406,100,TRUE,Yes,75,Female,NA,FALSE,Victoria,Victoria,Major City,Postgraduate degree,NA,"No, not employed - not looking for work",$300 - $399,7.444,29.486,31.126,5,Agree,Slightly Disagree,Slightly Disagree,Disagree,I Don't Know,Agree,Agree,Agree,Agree,Agree,Agree,10.513,17.001,17.93,2,Agree,Agree,9.171,12.331,13.265,2,Agree,Agree,Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,0,0,0,0,0,0,0,0,1,FALSE,1,0,0,Never,Never,Never,Never,Never,Never,Never,Never,Never,0,No Harm,Female,65+,Control,1,1,0,0,0,NA,NA,NA,NA,0,0,Control,Control,CTRL
407,100,TRUE,Yes,80,Male,NA,TRUE,New South Wales,New South Wales,Inner Regional,Undergraduate university degree,NA,"Yes, part time","$1,250 - $1,499",8.586,18.146,19.227,3,Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Agree,Slightly Agree,Agree,15.389,16.957,22.949,2,Slightly Agree,Slightly Agree,9.175,12.255,13.335,2,Agree,Slightly Agree,Slightly Agree,Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Disagree,Disagree,Slightly Disagree,0,1,0,0,0,0,0,0,0,FALSE,1,10,0,Never,Never,Never,Never,Never,Never,Never,Never,Never,0,No Harm,Male,65+,Clubs,4,0,0,0,1,NA,NA,NA,NA,56.671,NA,Correct,NA,Correct
410,100,TRUE,Yes,54,Female,NA,FALSE,Victoria,Victoria,Major City,"A trade, technical certificate or diploma",NA,"Yes, part time","$5,000 or more",2.431,33.892,34.6,19,Slightly Disagree,Slightly Disagree,Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,2.066,19.618,21.096,5,Slightly Disagree,Slightly Disagree,2.136,20.234,21.446,12,Disagree,Disagree,Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,0,10,0,0,0,0,0,2,5,FALSE,17,1500,0,Sometimes,Sometimes,Sometimes,Never,Never,Never,Never,Never,Sometimes,4,Moderate Risk,Female,45-54,Control,1,1,0,0,0,NA,NA,NA,NA,0,0,Control,Control,CTRL
416,100,TRUE,Yes,33,Female,NA,FALSE,Victoria,Victoria,Inner Regional,Year 11 or equivalent,NA,"Yes, full time","$2,000 - $2,499",5.023,16.837,17.693,12,Slightly Agree,Slightly Agree,Strongly Disagree,Slightly Disagree,Strongly Disagree,Slightly Agree,Agree,Strongly Agree,Strongly Agree,Slightly Agree,Strongly Agree,2.371,15.695,16.338,8,Slightly Agree,Slightly Agree,2.904,9.67,10.361,6,Slightly Agree,Slightly Agree,Strongly Agree,Strongly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Strongly Disagree,Slightly Agree,Strongly Disagree,0,2,0,0,0,3,0,0,7,FALSE,12,50,0,Never,Never,Never,Never,Never,Never,Never,Never,Never,0,No Harm,Female,25-34,Clubs,4,0,0,0,1,NA,NA,NA,NA,48.922,54.42,Depression,Correct,Correct
417,100,TRUE,Yes,61,Female,NA,FALSE,New South Wales,New South Wales,Outer Regional,"A trade, technical certificate or diploma",NA,"No, not employed - not looking for work",$300 - $399,0.948,22.941,24.14,12,Slightly Agree,Strongly Disagree,Strongly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Agree,Agree,Strongly Agree,1.4,16.193,17.1,19,Strongly Agree,Strongly Agree,1.265,11.694,12.375,12,Strongly Agree,Strongly Agree,Strongly Disagree,Slightly Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,Agree,0,0,0,0,0,6,0,0,26,FALSE,32,200,0,Never,Never,Never,Never,Never,Never,Never,Never,Never,0,No Harm,Female,55-64,Control,1,1,0,0,0,NA,NA,NA,NA,0,0,Control,Control,CTRL
419,100,TRUE,Yes,59,Female,NA,FALSE,New South Wales,New South Wales,Inner Regional,"A trade, technical certificate or diploma",NA,"Yes, part time","$1,500 - $1,999",2.475,29.504,30.656,15,Slightly Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Slightly Agree,Strongly Agree,Strongly Agree,Disagree,3.3,36.109,37.034,18,Slightly Agree,Slightly Agree,3.153,15.176,17.174,10,Slightly Agree,Agree,Agree,Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Disagree,Agree,Disagree,0,0,0,0,0,0,0,0,0,TRUE,0,100,0,Never,Never,Never,Never,Never,Never,Never,Never,Never,0,No Harm,Female,55-64,Brain,2,0,1,0,0,NA,NA,NA,NA,52.303,NA,Correct,NA,Correct
420,100,TRUE,Yes,72,Female,NA,FALSE,Victoria,Victoria,Major City,Year 12 or equivalent,NA,"No, not employed - not looking for work",$400 - $599,0.896,18.864,19.848,23,Strongly Agree,Agree,Slightly Agree,Strongly Disagree,Slightly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Slightly Agree,0.79,23.858,25.108,28,Agree,Agree,0.781,13.216,15.154,14,Agree,Agree,Strongly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Disagree,Slightly Agree,Slightly Disagree,0,0,0,0,0,0,0,0,12,FALSE,12,10,0,Never,Never,Never,Never,Never,Never,Never,Never,Never,0,No Harm,Female,65+,Brain,2,0,1,0,0,NA,NA,NA,NA,61.435,NA,Correct,NA,Correct
421,100,TRUE,Yes,64,Female,NA,FALSE,New South Wales,New South Wales,Major City,"A trade, technical certificate or diploma",NA,"No, not employed - not looking for work",$400 - $599,9.224,14.626,15.418,3,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,6.464,8.397,9.483,2,Strongly Agree,Strongly Agree,4.205,5.717,8.767,2,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,0,0,0,0,0,0,0,0,0,TRUE,0,0,0,Never,Never,Never,Never,Never,Never,Never,Never,Never,0,No Harm,Female,55-64,Control,1,1,0,0,0,NA,NA,NA,NA,0,0,Control,Control,CTRL
422,100,TRUE,Yes,32,Male,NA,TRUE,New South Wales,New South Wales,Major City,"A trade, technical certificate or diploma",NA,"Yes, full time",$800 - $999,13.573,20.086,21.327,3,Disagree,Strongly Disagree,Strongly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,20.894,29.847,30.884,2,Slightly Disagree,Strongly Disagree,9.897,12.889,13.846,3,Slightly Disagree,Slightly Disagree,Strongly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,0,0,0,0,0,0,0,0,0,TRUE,0,0,0,Never,Never,Never,Never,Never,Never,Never,Never,Never,0,No Harm,Male,25-34,Design,3,0,0,1,0,NA,NA,NA,NA,218.116,16.607,Again,Union,Failed
425,100,TRUE,Yes,24,Female,NA,FALSE,New South Wales,New South Wales,Major City,Undergraduate university degree,NA,"Yes, full time","$1,000 - $1,249",0.672,18.588,19.266,19,Slightly Disagree,Agree,Disagree,Slightly Disagree,Agree,Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,0.627,9.98,11.664,12,Slightly Agree,Slightly Agree,0.567,8.152,10.284,9,Slightly Agree,Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,0,0,0,0,0,0,0,2,5,FALSE,7,20,0,Never,Never,Never,Sometimes,Sometimes,Never,Never,Never,Never,2,Low Risk,Female,18-24,Control,1,1,0,0,0,NA,NA,NA,NA,0,0,Control,Control,CTRL
426,100,TRUE,Yes,28,Female,NA,FALSE,Victoria,Victoria,Major City,Undergraduate university degree,NA,"Yes, full time","$1,000 - $1,249",5.248,26.09,26.824,14,Slightly Agree,Slightly Disagree,Slightly Disagree,Disagree,I Don't Know,Strongly Agree,Slightly Disagree,Agree,Agree,Agree,Slightly Disagree,1.681,66.894,68.041,19,Slightly Agree,Slightly Agree,2.995,50.31,51.178,11,Slightly Agree,Slightly Agree,Agree,Agree,Slightly Disagree,Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,0,0,0,0,0,0,0,0,50,FALSE,50,20,0,Never,Never,Never,Never,Never,Never,Never,Never,Never,0,No Harm,Female,25-34,Design,3,0,0,1,0,NA,NA,NA,NA,164.834,24.626,Again,Correct,Correct
427,100,TRUE,Yes,30,Female,NA,FALSE,New South Wales,New South Wales,Outer Regional,"A trade, technical certificate or diploma",NA,"Yes, full time","$2,000 - $2,499",2.1,11.736,12.264,7,Strongly Agree,Agree,Strongly Agree,Disagree,Slightly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,23.009,48.796,49.378,8,Strongly Agree,Strongly Agree,7.9,55.987,56.987,6,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Slightly Agree,Slightly Agree,Strongly Disagree,Agree,Slightly Agree,0,0,0,0,0,0,0,0,0,TRUE,0,0,0,Never,Never,Never,Never,Never,Never,Never,Never,Never,0,No Harm,Female,25-34,Design,3,0,0,1,0,NA,NA,NA,NA,75.146,194.691,Again,EpMeds,Failed
428,100,TRUE,Yes,32,Male,NA,TRUE,New South Wales,New South Wales,Major City,Undergraduate university degree,NA,"Yes, full time","$1,250 - $1,499",1.527,7.667,7.679,7,Agree,Disagree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,1.361,2.397,3.937,3,Slightly Disagree,Slightly Disagree,1.421,2.439,3.396,2,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Agree,Slightly Agree,Agree,Slightly Agree,Agree,Agree,0,0,1,0,0,0,0,0,0,FALSE,1,40,40,Sometimes,Never,Never,Never,Never,Never,Most of the time,Never,Never,3,Moderate Risk,Male,25-34,Brain,2,0,1,0,0,NA,NA,NA,NA,51.756,5.25,Music,Correct,Correct
446,100,TRUE,Yes,23,Male,NA,TRUE,New South Wales,New South Wales,Major City,Year 12 or equivalent,NA,"No, not employed - looking for work","$5,000 or more",0.869,10.501,11.337,8,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,0.85,10.083,10.771,6,Strongly Agree,Strongly Agree,1.686,8.63,9.387,7,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Slightly Agree,Strongly Agree,Disagree,0,0,0,0,0,0,0,0,0,TRUE,0,0,0,Never,Never,Never,Never,Never,Never,Never,Never,Never,0,No Harm,Male,18-24,Design,3,0,0,1,0,96,149,292,468,46.408,NA,Correct,NA,Correct
447,100,TRUE,Yes,25,Female,NA,FALSE,Victoria,Victoria,Major City,Undergraduate university degree,NA,"Yes, full time","$1,250 - $1,499",1.518,23.019,23.92,15,Slightly Agree,Slightly Disagree,Disagree,Slightly Disagree,Slightly Disagree,Slightly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Slightly Disagree,0.936,43.864,44.872,19,Agree,Agree,4.039,17.996,18.45,10,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Disagree,Agree,Slightly Agree,0,2,0,0,0,0,0,0,0,FALSE,2,20,0,Never,Never,Never,Sometimes,Never,Never,Never,Never,Never,1,Low Risk,Female,25-34,Control,1,1,0,0,0,NA,96,783,885,0,0,Control,Control,CTRL
